video_id,video_title,author,comment,cleaned_comment,likes,published_at,car_model,topic
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@MrSki-cw1mh,He knows that the Mercedes is better but he is an absolute BMW fan girl and total sell out...,he know that the mercedes is better but he is an absolute bmw fan girl and total sell out ...,1,2025-09-30T18:40:00Z,Mercedes,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@MrRezw5975,bmw all day mofgkas,bmw all day mofgkas,0,2025-09-30T06:50:38Z,bmw,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@LegendaryIGReels,yesssssss,yesssssss,0,2025-09-27T08:01:14Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@jfmmp,What the hell is VW doing there????????!!,what the hell is vw doing there ? ? ? ? ? ? ? ? ! !,0,2025-09-23T03:48:21Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@Gun_CPF4Life,"Performance wise - the GLE 450 shouldn’t be competing with the 30d BMW, it should only be the GLE 300, which is a 2L. As both will then be the entry level. If it’s the 450, then test it against the x5 50e","performance wise - the gle 450 shouldn ’ t be competing with the 30d bmw , it should only be the gle 300 , which is a 2l . a both will then be the entry level . if it ’ s the 450 , then test it against the x5 50e",3,2025-09-22T23:28:17Z,BMW,performance
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@ThongnamHoangquang,Story arcs across multiple videos encourage subscription,story arc across multiple video encourage subscription,0,2025-09-17T00:52:23Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@fürimmerkonservativ,I can clearly see Mercedes nowadays is very chinese,i can clearly see mercedes nowadays is very chinese,0,2025-09-16T06:00:12Z,Mercedes,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@SakethChodi,only in 2025 will normal luxury midsize family suv's do the quarter mile faster than the lamborghini gallardo,only in 2025 will normal luxury midsize family suv 's do the quarter mile faster than the lamborghini gallardo,0,2025-09-13T21:26:37Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@ElianAden-n1k8c,"Crossovers between niches (gaming + music, news + commentary) reach wider audiences","crossover between niche ( gaming + music , news + commentary ) reach wider audience",0,2025-09-13T15:18:34Z,Other,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@HornyMidget420,Am I the only one that thinks the Audi looks by far the best??,am i the only one that think the audi look by far the best ? ?,0,2025-09-08T20:47:06Z,Audi,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@yoyo50658,Matt is a BMW fanboy,matt is a bmw fanboy,0,2025-09-08T07:44:59Z,BMW,Other
PghQPGacrlI,Best SUVs tested: BMW v Porsche v Mercedes v Audi v VW,@alek385,"I would get VW Touareg Diesel 286 hp, immense torque, or BMW X5 50e....","i would get vw touareg diesel 286 hp , immense torque , or bmw x5 50e ....",0,2025-09-07T08:30:16Z,BMW,Other
